x,y,alive
6,22,t
10,22,t
11,22,t
13,22,t
14,22,t
16,22,t
17,22,t
18,22,t
21,22,t
22,22,t
25,22,t
26,22,t
27,22,t
28,22,t
31,22,t
32,22,t
33,22,t
35,22,t
36,22,t
38,22,t
39,22,t
40,22,t
0,22,t
1,22,t
8,22,t
9,22,t
10,22,t
11,22,t
16,22,t
17,22,t
18,22,t
21,22,t
22,22,t
24,22,t
26,22,t
27,22,t
28,22,t
29,22,t
30,22,t
32,22,t
33,22,t
37,22,t
39,22,t
40,22,t
42,22,t
4,23,t
5,23,t
7,23,t
8,23,t
9,23,t
10,23,t
14,23,t
15,23,t
17,23,t
18,23,t
19,23,t
26,23,t
27,23,t
29,23,t
30,23,t
33,23,t
34,23,t
37,23,t
38,23,t
41,23,t
42,23,t
1,24,t
2,24,t
4,24,t
5,24,t
6,24,t
7,24,t
11,24,t
12,24,t
15,24,t
16,24,t
18,24,t
19,24,t
20,24,t
21,24,t
22,24,t
25,24,t
26,24,t
27,24,t
30,24,t
31,24,t
34,24,t
35,24,t
37,24,t
38,24,t
39,24,t
40,24,t
2,25,t
3,25,t
4,25,t
6,25,t
7,25,t
8,25,t
11,25,t
12,25,t
15,25,t
16,25,t
18,25,t
19,25,t
20,25,t
24,25,t
25,25,t
28,25,t
29,25,t
30,25,t
35,25,t
36,25,t
37,25,t
38,25,t
39,25,t
40,25,t
41,25,t
3,26,t
4,26,t
5,26,t
7,26,t
8,26,t
11,26,t
13,26,t
16,26,t
17,26,t
18,26,t
20,26,t
21,26,t
22,26,t
28,26,t
29,26,t
30,26,t
31,26,t
2,27,t
4,27,t
5,27,t
6,27,t
8,27,t
9,27,t
11,27,t
12,27,t
14,27,t
15,27,t
16,27,t
30,27,t
31,27,t
32,27,t
33,27,t
34,27,t
35,27,t
36,27,t
37,27,t
38,27,t
40,27,t
41,27,t
8,28,t
9,28,t
10,28,t
11,28,t
12,28,t
13,28,t
38,28,t
39,29,t
40,29,t
41,29,t
5,30,t
6,31,t
7,31,t
10,31,t
11,31,t
12,31,t
14,31,t
15,31,t
16,31,t
18,31,t
19,31,t
21,31,t
22,31,t
24,31,t
26,31,t
28,31,t
29,31,t
33,31,t
39,31,t
41,31,t
6,32,t
7,32,t
8,32,t
9,32,t
11,32,t
12,32,t
14,32,t
16,32,t
18,32,t
19,32,t
20,32,t
24,32,t
25,32,t
26,32,t
27,32,t
37,32,t
38,32,t
39,32,t
